ProductID,ChannelID,LocationID,Method,Period,StartDate,EndDate,Type,Qty,Level 
AztecWrap,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,16.321669,111
AztecWrap,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.874315,111
AztecWrap,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.870115,111
AztecWrap,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,1/3/25,1/3/25,1,18.929163,111
AztecWrap,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.378107,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.243654,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.603655,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,16.109394,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.89415,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.89415,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,1/3/25,1/3/25,1,16.89415,111
AztecWrap,Pickup,StoreNijmegenCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.89415,111
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,14.082376,111
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,15.747071,111
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.796904,111
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,15.6679735,111
